KABR,"Aberdeen, SD",452721,982447
KENX,"Albany, NY",423511,740350
KABX,"Albuquerque, NM",350859,1064926
KFDR,"Altus AFB, OK",342144,985835
KAMA,"Amarillo, TX",351400,1014233
PAHG,"Anchorage, AK",604333,1512105
PGUA,"Anderson AFB, GU",132709,1444841
KFFC,"Atlanta, GA",332149,843357
KEWX,"Austin/San Antonio, TX",294214,980142
KBBX,"Beale AFB, CA",392946,1213754
PABC,"Bethel, AK",604731,1615235
KBLX,"Billings, MT",455114,1083624
KBGM,"Binghamton, NY",421159,755905
KBMX,"Birmingham, AL",331020,864611
KBIS,"Bismarck, ND",464615,1004538
KCBX,"Boise, ID",432926,1161408
KBOX,"Boston, MA",415721,710813
KBRO,"Brownsville, TX",255458,972508
KBUF,"Buffalo, NY",425656,784412
KCXX,"Burlington, VT",443040,731001
RKSG,"Camp Humphreys, Korea",365721,1270116
KFDX,"Cannon AFB, NM",343807,1033748
KICX,"Cedar City, UT",373527,1125144
KCLX,"Charleston, SC",323920,810232
KRLX,"Charleston, WV",381840,814323
KCYS,"Cheyenne, WY",410907,1044822
KLOT,"Chicago, IL",413617,880505
KILN,"Cincinnati, OH",392513,834918
KCLE,"Cleveland, OH",412447,815135
KCAE,"Columbia, SC",335655,810706
KGWX,"Columbus AFB, MS",335348,881944
KCRP,"Corpus Christi, TX",274703,973040
KFWS,"Dallas/Ft. Worth, TX",323423,971811
KDVN,"Davenport, IA",413642,903451
KFTG,"Denver, CO",394712,1043245
KDMX,"Des Moines, IA",414352,934322
KDTX,"Detroit, MI",424159,832818
KDDC,"Dodge City, KS",374539,995808
KDOX,"Dover AFB, DE",384932,752623
KDLH,"Duluth, MN",465013,921235
KDYX,"Dyess AFB, TX",323218,991516
KEYX,"Edwards AFB, CA",350552,1173339
KEVX,"Eglin AFB, FL",303352,855517
KEPZ,"El Paso, TX",315223,1064153
KLRX,"Elko, NV",404423,1164810
KBHX,"Eureka, CA",402954,1241731
PAPD,"Fairbanks, AK",650206,1473006
KFSX,"Flagstaff, AZ",343428,1111152
KHPX,"Fort Campbell, KY",364412,871706
KGRK,"Fort Hood, TX",304319,972259
KPOE,"Fort Polk, LA",310920,925833
KEOX,"Fort Rucker, AL",312738,852734
KSRX,"Fort Smith, AR",351726,942142
KIWX,"Fort Wayne, IN",412132,854200
KAPX,"Gaylord, MI",445426,844311
KGGW,"Glasgow, MT",481223,1063730
KGLD,"Goodland, KS",392201,1014201
KMVX,"Grand Forks, ND",473140,971932
KGJX,"Grand Junction, Co",390344,1081250
KGRR,"Grand Rapids, MI",425338,853241
KTFX,"Great Falls, MT",472735,1112307
KGRB,"Green Bay, WI",442954,880641
KGSP,"Greer, SC",345300,821312
KRMX,"Griffiss AFB, NY",432804,752728
KUEX,"Hastings, NE",401915,982631
KHDX,"Holloman AFB, NM",330435,1060722
KCBW,"Houlton, ME",460221,674823
KHGX,"Houston/Galveston, TX",292819,950445
KHTX,"Huntsville, AL",345550,860500
KIND,"Indianapolis, IN",394227,861649
KJKL,"Jackson, KY",373527,831847
KJAN,"Jackson, MS",321904,900448
KJAX,"Jacksonville, FL",302905,814207
RODN,"Kadena, Okinawa",261807,1275435
PHKN,"Kamuela, HI",200732,1554640
KEAX,"Kansas City, MO",384837,941552
KBYX,"Key West, FL",243551,814211
PAKC,"King Salmon, AK",584046,1563746
KMRX,"Knoxville/Tri-Cities, TN",361007,832406
RKJK,"Kunsan AB, Korea",355527,1263720
KARX,"La Crosse, WI",434922,911128
LPLA,"Lajes AB, Azores",384349,271918
KLCH,"Lake Charles, LA",300731,931257
KESX,"Las Vegas, NV",354204,1145329
KDFX,"Laughlin AFB, TX",291622,1001650
KILX,"Lincoln, IL",400902,892013
KLZK,"Little Rock, AR",345011,921544
KVTX,"Los Angeles, CA",342442,1191046
KLVX,"Louisville, KY",375831,855638
KLBB,"Lubbock, TX",333915,1014851
KMQT,"Marquette, MI",463152,873254
KMXX,"Maxwell AFB, AL",323212,854723
KMAX,"Medford, OR",420452,1224302
KMLB,"Melbourne, FL",280648,803915
KNQA,"Memphis, TN",352041,895224
KAMX,"Miami, FL",253640,802446
PAIH,"Middleton Island, AK",592741,1461811
KMAF,"Midland/Odessa, TX",315636,1021121
KMKX,"Milwaukee, WI",425804,883302
KMPX,"Minneapolis/St. Paul, MN",445056,933356
KMBX,"Minot AFB, ND",482333,1005154
KMSX,"Missoula, MT",470228,1135910
KMOB,"Mobile, AL",304046,881423
PHMO,"Molokai, HI",210758,1571048
KVAX,"Moody AFB, GA",302325,830006
KMHX,"Morehead City, NC",344634,765234
KOHX,"Nashville, TN",361450,863345
KLIX,"New Orleans, LA",302012,894932
KOKX,"New York City, NY",405156,725150
PAEC,"Nome, AK",643041,1651742
KAKQ,"Norfolk/Richmond, VA",365902,770026
KLNX,"North Platte, NE",415728,1003435
KTLX,"Oklahoma City, OK",351959,971640
KOAX,"Omaha, NE",411913,962200
KPAH,"Paducah, KY",370406,884619
KPDT,"Pendleton, OR",454126,1185110
KDIX,"Philadelphia, PA",395649,742439
